packet_length,timestamp,source_ip,destination_ip,time_difference,direction
102,2026-02-12 18:27:13.875391,192.168.56.103,192.168.56.102,0,client to server
102,2026-02-12 18:27:13.906147,192.168.56.102,192.168.56.103,0,server to client
102,2026-02-12 18:27:13.906746,192.168.56.103,192.168.56.102,0,client to server
102,2026-02-12 18:27:13.929360,192.168.56.102,192.168.56.103,0,server to client
102,2026-02-12 18:27:13.929727,192.168.56.103,192.168.56.102,0,client to server
102,2026-02-12 18:27:13.983127,192.168.56.102,192.168.56.103,0,server to client
102,2026-02-12 18:27:13.984256,192.168.56.103,192.168.56.102,0,client to server
102,2026-02-12 18:27:14.025290,192.168.56.102,192.168.56.103,0,server to client
102,2026-02-12 18:27:14.025695,192.168.56.103,192.168.56.102,0,client to server
102,2026-02-12 18:27:14.045711,192.168.56.102,192.168.56.103,0,server to client
102,2026-02-12 18:27:14.046623,192.168.56.103,192.168.56.102,0,client to server
102,2026-02-12 18:27:14.065798,192.168.56.102,192.168.56.103,0,server to client
102,2026-02-12 18:27:14.066761,192.168.56.103,192.168.56.102,0,client to server
102,2026-02-12 18:27:14.086010,192.168.56.102,192.168.56.103,0,server to client
102,2026-02-12 18:27:14.086737,192.168.56.103,192.168.56.102,0,client to server
102,2026-02-12 18:27:14.105668,192.168.56.102,192.168.56.103,0,server to client
102,2026-02-12 18:27:14.106530,192.168.56.103,192.168.56.102,0,client to server
102,2026-02-12 18:27:14.125576,192.168.56.102,192.168.56.103,0,server to client
102,2026-02-12 18:27:14.126456,192.168.56.103,192.168.56.102,0,client to server
102,2026-02-12 18:27:14.145808,192.168.56.102,192.168.56.103,0,server to client
102,2026-02-12 18:27:14.146960,192.168.56.103,192.168.56.102,0,client to server
102,2026-02-12 18:27:14.165621,192.168.56.102,192.168.56.103,0,server to client
102,2026-02-12 18:27:14.166653,192.168.56.103,192.168.56.102,0,client to server
102,2026-02-12 18:27:14.185571,192.168.56.102,192.168.56.103,0,server to client
102,2026-02-12 18:27:14.186889,192.168.56.103,192.168.56.102,0,client to server
102,2026-02-12 18:27:14.206373,192.168.56.102,192.168.56.103,0,server to client
102,2026-02-12 18:27:14.206858,192.168.56.103,192.168.56.102,0,client to server
102,2026-02-12 18:27:14.226544,192.168.56.102,192.168.56.103,0,server to client
102,2026-02-12 18:27:14.226968,192.168.56.103,192.168.56.102,0,client to server
102,2026-02-12 18:27:14.246952,192.168.56.102,192.168.56.103,0,server to client
102,2026-02-12 18:27:14.248029,192.168.56.103,192.168.56.102,0,client to server
102,2026-02-12 18:27:14.265885,192.168.56.102,192.168.56.103,0,server to client
102,2026-02-12 18:27:14.266708,192.168.56.103,192.168.56.102,0,client to server
102,2026-02-12 18:27:14.286316,192.168.56.102,192.168.56.103,0,server to client
102,2026-02-12 18:27:14.286830,192.168.56.103,192.168.56.102,0,client to server
66,2026-02-12 18:27:14.330424,192.168.56.102,192.168.56.103,0,server to client
